action,owner,repo,sub_path,github_url,marketplace_url,usage_count,workflow_count,tag_versions,sha_pinned_versions,is_sha_pinned,is_mixed_pinning,example_workflows
Audioreach/audioreach-workflows/.github/workflows/build.yml,Audioreach,audioreach-workflows,.github/workflows/build.yml,https://github.com/Audioreach/audioreach-workflows,,3,3,master,0,False,False,AudioReach/audioreach-graphservices; AudioReach/audioreach-conf; AudioReach/audioreach-pulseaudio-plugin
cloudposse/.github/.github/workflows/shared-terraform-module.yml,cloudposse,.github,.github/workflows/shared-terraform-module.yml,https://github.com/cloudposse/.github,,3,3,main,0,False,False,cloudposse/terraform-aws-ec2-bastion-server; cloudposse/terraform-aws-efs-backup; cloudposse/terraform-aws-route53-cluster-zone
actions/setup-java,actions,setup-java,,https://github.com/actions/setup-java,https://github.com/marketplace/actions/setup-java,5,3,v3; v4,0,False,False,gbv/reposis_iai; nebula-plugins/gradle-netflixoss-project-plugin; fabric8io/kubernetes-client
dorny/paths-filter,dorny,paths-filter,,https://github.com/dorny/paths-filter,https://github.com/marketplace/actions/paths-filter,4,3,v2,2,True,True,pulumi/pulumi-pagerduty; repo-helper/hatch-requirements-txt; github/docs
Audioreach/audioreach-workflows/.github/workflows/test.yml,Audioreach,audioreach-workflows,.github/workflows/test.yml,https://github.com/Audioreach/audioreach-workflows,,3,3,master,0,False,False,AudioReach/audioreach-graphservices; AudioReach/audioreach-conf; AudioReach/audioreach-pulseaudio-plugin
re-actors/alls-green,re-actors,alls-green,,https://github.com/re-actors/alls-green,https://github.com/marketplace/actions/alls-green,3,3,release/v1,0,False,False,aio-libs/aiohttp-debugtoolbar; jaraco/jaraco.ui; jaraco/jaraco.zstd
dependabot/fetch-metadata,dependabot,fetch-metadata,,https://github.com/dependabot/fetch-metadata,https://github.com/marketplace/actions/fetch-metadata,3,3,v1; v2; v2.2.0,0,False,False,npm/map-workspaces; navikt/dp-datadeling; neuro-inc/platform-registry-api
snapcore/action-build,snapcore,action-build,,https://github.com/snapcore/action-build,https://github.com/marketplace/actions/action-build,3,3,v1,0,False,False,ubuntu/gnome-hitori; ubuntu/gnome-hitori; ubuntu/swell-foop
dpc-sdp/github-actions/.github/workflows/set_status.yml,dpc-sdp,github-actions,.github/workflows/set_status.yml,https://github.com/dpc-sdp/github-actions,,6,3,main,0,False,False,dpc-sdp/tide_demo_content; dpc-sdp/tide_authenticated_content; dpc-sdp/tide_authenticated_content
turbot/steampipe-workflows/.github/workflows/golangci-lint.yml,turbot,steampipe-workflows,.github/workflows/golangci-lint.yml,https://github.com/turbot/steampipe-workflows,,3,3,main,0,False,False,turbot/steampipe-plugin-splunk; turbot/steampipe-plugin-crtsh; turbot/steampipe-plugin-pipes
zopencommunity/meta/.github/workflows/build_and_test.yml,zopencommunity,meta,.github/workflows/build_and_test.yml,https://github.com/zopencommunity/meta,,3,3,main,0,False,False,zopencommunity/pvport; zopencommunity/moreutilsport; zopencommunity/sudoport
discourse/.github/.github/workflows/create-d-compat-branch.yml,discourse,.github,.github/workflows/create-d-compat-branch.yml,https://github.com/discourse/.github,,3,3,v1,0,False,False,discourse/discourse-theme-hibiscus; discourse/discourse-material-design-icons-filled; discourse/discourse-browser-history
jenkins-infra/jenkins-security-scan/.github/workflows/jenkins-security-scan.yaml,jenkins-infra,jenkins-security-scan,.github/workflows/jenkins-security-scan.yaml,https://github.com/jenkins-infra/jenkins-security-scan,,3,3,v2,0,False,False,jenkinsci/jmh-report-plugin; jenkinsci/jmh-report-plugin; jenkinsci/ant-plugin
fortify/shared-doc-resources/.github/workflows/update-repo-docs.yml,fortify,shared-doc-resources,.github/workflows/update-repo-docs.yml,https://github.com/fortify/shared-doc-resources,,2,2,main,0,False,False,fortify/fortify-ssc-parser-burp; fortify/fortify-ssc-parser-burp
aws-actions/configure-aws-credentials,aws-actions,configure-aws-credentials,,https://github.com/aws-actions/configure-aws-credentials,https://github.com/marketplace/actions/configure-aws-credentials,2,2,v1,0,False,False,cds-snc/ui-automate; cds-snc/ui-automate
influxdata/validate-semantic-github-messages/.github/workflows/semantic.yml,influxdata,validate-semantic-github-messages,.github/workflows/semantic.yml,https://github.com/influxdata/validate-semantic-github-messages,,2,2,main,0,False,False,influxdata/influxdb-client-swift; influxdata/influxdb-client-swift
Hapag-Lloyd/Workflow-Templates/.github/workflows/default_welcome_message_callable.yml,Hapag-Lloyd,Workflow-Templates,.github/workflows/default_welcome_message_callable.yml,https://github.com/Hapag-Lloyd/Workflow-Templates,,2,2,,1,True,False,Hapag-Lloyd/Renovate-Global-Configuration; Hapag-Lloyd/Renovate-Global-Configuration
peter-evans/create-pull-request,peter-evans,create-pull-request,,https://github.com/peter-evans/create-pull-request,https://github.com/marketplace/actions/create-pull-request,2,2,v8,1,True,True,kyoh86/ddu-source-git_diff_tree; Geonovum/geooptijd
adafruit/workflows-circuitpython-libs/release-gh,adafruit,workflows-circuitpython-libs,release-gh,https://github.com/adafruit/workflows-circuitpython-libs,,2,2,main,0,False,False,adafruit/Adafruit_CircuitPython_FXAS21002C; adafruit/Adafruit_CircuitPython_FXAS21002C
peter-evans/find-comment,peter-evans,find-comment,,https://github.com/peter-evans/find-comment,https://github.com/marketplace/actions/find-comment,4,2,v2,0,False,False,npm/read-package-json-fast; npm/hosted-git-info
LouisBrunner/checks-action,LouisBrunner,checks-action,,https://github.com/LouisBrunner/checks-action,https://github.com/marketplace/actions/checks-action,4,2,v1.6.0,0,False,False,npm/read-package-json-fast; npm/hosted-git-info
peter-evans/create-or-update-comment,peter-evans,create-or-update-comment,,https://github.com/peter-evans/create-or-update-comment,https://github.com/marketplace/actions/create-or-update-comment,10,2,v3,0,False,False,npm/read-package-json-fast; npm/hosted-git-info
